sha256_hash,file_type,first_seen,tags
2aad7f7edf402c984b9470586e8676190a72c59ccd8a232d5010eece7e85d451,exe,2020-02-27 14:16:12,njrat
9a31db5bc233b3fedeeb7f8fda079d92cb4c42377d763f3cf37c98d452962ebe,exe,2020-02-28 05:13:38,darktrack DarktrackRAT
f38e6fdee72634232d6bc1c9e4a843716a2200c2092e71f7cfa8865ab9679e13,exe,2020-02-27 22:40:02,njrat
e20e1fd207ef943af95774fc0fc0e38da70c808b78a3dfb141e4852036a8dc12,exe,2020-02-28 04:59:16,asyncrat
40be51737bb8b9c99a97cf8024014e3f0dfc7bb56471856206365714476add9d,exe,2020-02-28 01:43:51,njrat
6ebe2626d66a590a572cca546c2b1c472f5e1b7db26f89cc8f6f073125fe82c5,exe,2020-02-28 06:33:09,revengerat
23b7ef18b61fe3ca542372a862d19fac734c24b5cecfe9682b211129fa88f998,dll,2020-02-27 15:03:30,sodinokibi
4a3f69c2613f4a514b1c904f7e019990d68718fbfdbb6ffe2896c50489ea5814,exe,2020-02-28 06:11:23,njrat
7eac3dab8df1f347802cbb863cb525b4c00e2b6d5488b409969967bb2baac695,exe,2020-02-28 00:31:53,njrat
7e1f0c4593e27a0841305ca73d83f6ccdd900ecf8ed8863feb9a301367c5dac1,exe,2020-02-28 06:27:45,revengerat
8efd6f95c39e86627b1f9cc553fa7bed152dbf4788662bee15d3b5bdf0c1b79e,exe,2020-02-28 08:17:14,revengerat
588eb55b57e118fbee66a6d0586de453ea4e0ae1a781c73e1bbe10e8e24641fc,exe,2020-02-28 03:00:41,quasarrat
0737463d0ed8addd2c9adf17c3289e48ea012750b5f826da5b33da8408341e3c,exe,2020-02-28 07:45:30,nanocore
fa84bcc1375121f4ea3c3d091399ca5367fb99cb6a66ef0c49a38b2e38ab224e,exe,2020-02-27 23:29:37,njrat
b4d67a1a00e261d1f0850dda2d512003d548e5adac903bc28bebc0ab2c9ad84b,exe,2020-02-27 22:24:59,njrat
c4682163181637eb17e174cc795eba8b094f6d6c76a60b14cdfa38ae7471c768,exe,2020-02-27 19:17:37,quasarrat
a4fcf02ada330a1e50982618833ae730d5238adbf9407e303cc6c05fa8270ba5,exe,2020-02-28 06:10:37,blackshades QuasarRAT
fbfea1db4497202597c91cfda1d44136e85ca74fbf780baab2f1b1520c724cd8,exe,2020-02-26 07:41:43,njrat
20a0206d431c7d26df2994c1c9d21ec2632e0e4eb358b28a28826af7e51c548f,exe,2020-02-28 06:03:57,njrat
bf3aa88502b6f15711ae0ac0702c8bdc8219f27cd48b946b20d2f0c225d4cce5,exe,2020-02-27 22:35:34,njrat
a16bd1b906b66c84b3b8e097e10e5fc70fedf3240a182878758ae9f108dac023,exe,2020-02-27 16:01:14,revengerat
6df08107847e05fb150b0aa3cd009daaf2e352302245f76e54225587654adf92,exe,2020-02-28 05:13:52,revengerat
cd421127d97cf049c17e0d3049dc42686468f26adfdc0281e0cb64e307c54a67,exe,2020-02-27 22:11:19,asyncrat
f710f839c4211f980cb6f2c2ba51e28eda20891810e5a57ac395bf467ff6fedf,exe,2020-02-28 00:06:58,njrat
20834d83e3c56d3cedb42c869587d9e9b9c71624b32469a06a042881c5fa1438,exe,2020-02-27 14:23:51,njrat
d44670b7dede4487ecc7d4a61f28a0462591fac8d303aa36b8b376001c79111d,exe,2020-02-27 20:13:12,nanocore
00d4903c9864c5b55f6cba9848f3bc2f2976ad18e9c5763408323c8d9505ff68,exe,2020-02-27 14:42:42,njrat
ed5910defef802d55719379010b1cb99b007928f2947bcf0c778c8f479892084,exe,2020-02-28 06:04:26,njrat
88889c90ef9432e7eae81bf3aa181b173deb8e8f8e6295d7737c516ee7f2f77f,exe,2020-02-28 05:52:02,njrat
a6604aebaa716ddce1cc646eb63b3ddcdc7aaa59efe4e10bcd1650dee815ea03,exe,2020-02-28 04:43:49,asyncrat
e0717a6c90b4fc941a29d4c5272cd6139b1b86c1e0103d7d58955bf05c4bbb9b,exe,2020-02-27 13:54:37,njrat
7a5f26049488c885e95778f9a2352179be3a2f0721bba044039263214765d781,exe,2020-02-27 18:11:02,asyncrat
f67ad736a0b228abca843c8dabb426263903b4c95548a64d8ff5a078ba9cf8d9,exe,2020-02-28 04:54:48,njrat
1db41e3285f0819f9f614052a76500038e9ec2433550c240aeceb2787b235808,exe,2020-02-28 06:21:35,njrat
1c659cbf8f73b2dd0ed8238595c225dbc1e87d5ea538c24a5d52faf0f4a49e7d,exe,2020-02-25 11:39:17,younglotus
abf3559102f105717f176c7929b5994a35686be15d37fb91d19d885f79cc1310,exe,2020-02-27 20:18:15,asyncrat
35826857f7763122fb380c1392f2d0fb820ec28c1f16e858b3846b9f681525af,exe,2020-02-27 22:27:19,quasarrat
22e6baf4d3e4dba5f6f3ab349700d0169eeeb4a989b20b64a6aefba8be9fa64a,dll,2020-02-27 19:42:13,sodinokibi
